0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,19,19,19,19,19,19,19,20,20,19,18,19,20,19,19,19,19,22,22,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,14,15,17,16,16,15,13,16,15,16,13,14,15,16,14,16,14,15,14,1
5,5,5,7,6,7,5,5,7,7,6,5,4,5,7,5,6,5,5,5,1
7,6,6,6,6,7,7,6,7,6,6,6,6,6,6,6,6,6,7,6,0
15,10,10,9,10,9,15,11,9,9,10,11,10,8,10,10,9,10,15,10,1
8,8,9,8,9,6,9,8,6,6,9,8,9,8,9,9,5,8,8,9,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1
2,3,2,3,2,3,1,2,2,2,2,3,3,3,2,3,3,4,1,3,1
25,27,27,42,43,45,24,27,46,46,43,27,26,26,42,27,43,26,24,26,1
2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,1
1,1,1,2,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1
1,1,4,3,3,3,1,1,4,4,3,1,4,4,3,1,3,3,1,0,1
16,14,16,15,16,17,16,14,17,16,16,14,17,16,16,14,17,17,16,14,1
4,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,3,3,4,3,1
20,12,11,12,12,13,20,12,13,13,12,12,12,12,12,12,12,12,20,12,1
6,6,6,9,9,9,6,6,9,9,9,6,6,6,9,6,9,6,6,6,1
41,18,17,22,21,21,41,18,21,21,21,18,17,16,21,18,14,17,41,18,1
6,7,7,7,7,8,6,7,7,7,7,8,8,8,8,8,8,8,6,8,1
13,13,13,13,12,14,13,13,14,14,12,13,11,11,12,13,12,12,13,13,0
5,5,5,7,7,8,5,5,8,8,7,5,5,5,8,5,7,5,5,5,1
71,71,71,56,55,57,71,71,58,58,51,71,68,69,54,71,53,68,71,71,1
36,39,30,28,28,32,35,38,32,31,29,39,30,30,28,39,28,30,37,38,1
34,21,26,27,26,27,34,22,26,26,26,21,24,24,26,21,26,24,33,22,1
53,53,53,53,54,57,53,53,56,58,54,53,53,53,54,53,49,53,53,53,0
16,17,16,16,16,16,16,15,16,16,16,17,16,16,16,16,16,16,16,15,0
11,10,8,8,8,7,10,10,7,8,8,10,11,9,8,9,8,8,11,10,1
10,10,13,11,11,13,10,10,14,13,12,10,14,13,12,10,13,14,10,10,1
7,9,7,7,9,10,8,8,10,10,9,8,8,8,8,9,8,9,9,8,1
16,16,16,14,14,15,16,16,14,14,14,16,17,16,15,16,14,16,16,16,1
9,9,8,8,8,9,9,8,10,10,8,9,8,8,9,9,9,9,9,9,0
16,99,14,19,18,18,17,99,12,12,19,99,13,14,9,99,12,14,16,99,1
216,220,233,193,194,220,219,220,225,224,194,220,231,231,192,220,198,232,215,220,1
20,21,18,44,43,45,20,22,45,45,43,22,19,19,45,21,44,18,19,21,1
32,34,34,43,43,45,32,35,45,45,43,34,34,34,43,34,43,34,32,34,1
4,4,4,5,5,6,4,4,6,5,5,4,4,4,5,4,5,4,4,4,1
9,10,7,7,7,7,10,9,6,6,7,9,7,6,7,9,7,7,9,9,1
5,8,7,3,3,3,5,8,3,3,2,7,6,6,3,7,2,6,4,7,1
40,20,19,25,24,23,40,19,23,23,24,19,19,18,23,19,24,19,40,19,1
51,58,60,88,84,88,52,58,91,89,84,58,56,56,83,58,76,56,52,58,1
7,6,8,7,7,18,8,6,13,15,7,6,7,5,7,9,8,9,7,5,1
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
38,39,36,31,30,30,39,40,30,30,30,39,36,35,31,39,31,35,39,40,1
16,17,15,17,19,19,15,19,18,19,16,17,16,15,17,17,19,16,16,18,1
9,11,12,12,12,13,8,10,13,13,12,11,11,12,12,10,12,12,8,10,1
13,17,16,28,27,29,14,17,30,30,27,17,16,17,27,17,30,17,14,17,1
16,15,16,23,23,23,16,15,23,23,23,15,15,15,23,15,23,16,16,15,1
24,29,24,21,21,20,24,29,21,20,21,29,24,23,21,28,21,23,25,29,1
23,25,29,28,28,34,23,25,34,33,28,25,30,29,28,25,28,29,23,25,1
3,5,5,5,5,5,3,5,6,5,5,5,4,4,5,6,4,4,3,5,1
13,13,14,14,14,15,12,13,15,15,13,13,13,14,15,14,14,13,12,13,0
5,6,3,4,4,7,5,6,7,6,3,6,4,2,4,6,5,2,5,6,1
8,8,8,11,11,11,8,8,11,11,11,8,8,8,11,8,10,8,8,8,1
2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1
40,20,19,24,23,23,40,20,23,23,23,20,18,18,22,19,14,18,40,20,1
28,33,27,27,27,27,28,33,27,27,27,33,27,27,26,32,23,27,28,32,1
10,9,9,8,9,7,9,8,7,7,8,9,9,7,8,8,9,9,10,8,1
